
escenario,decision,ganancia_estimada,clientes_felices_estimados,dificultad_ejecucion,logica_ejemplo,resultado_final,feedback_ia_ejemplo,descripcion_escenario,descripcion_decision
"Tienda de Helados","Preparar más Helados de Frutas",80,90,3,"Pensó en el calor, buena elección para el público mayoritario.","Éxito moderado","¡Excelente! Consideraste el clima y las preferencias generales. Esto maximiza la demanda."
"Tienda de Helados","Preparar más Helados de Chocolate",40,60,2,"Solo pensó en gustos personales, ignoró el clima.","Fracaso parcial","Considerar solo un nicho, ignorando factores externos como el clima, puede limitar tus ventas. ¡Piensa en el panorama completo!"
"Tienda de Helados","Preparar un poco de cada uno",70,80,4,"Intentó contentar a todos, pero no maximizó ventas de lo más popular.","Éxito decente","Una decisión equilibrada reduce riesgos, pero a veces no permite explotar la oportunidad de un producto estrella. Evalúa la demanda predominante."
"Lanzamiento de Producto","Lanzar producto Premium (alto precio)",70,60,4,"Se enfocó en margen alto y exclusividad.","Éxito de nicho","Buena estrategia si tu mercado valora la exclusividad. Asegúrate de tener una marca fuerte para justificar el precio."
"Lanzamiento de Producto","Lanzar producto Económico (bajo precio)",85,95,2,"Buscó volumen de ventas y accesibilidad.","Éxito masivo","Ideal para penetrar rápidamente el mercado. Asegúrate de que tus costos permitan un margen sostenible."
"Lanzamiento de Producto","No lanzar por ahora",30,20,1,"Miedo al riesgo, perdió oportunidad de mercado.","Oportunidad perdida","La inacción a veces es la peor decisión. Evalúa los riesgos, pero también el costo de no hacer nada."
"Inversión Personal","Invertir en acciones de alto riesgo",90,30,5,"Buscó alta rentabilidad sin considerar volatilidad.","Alto riesgo, alta recompensa","Potencial de gran ganancia, pero también de gran pérdida. Es vital diversificar y no poner todos los huevos en una canasta."
"Inversión Personal","Invertir en bonos seguros",40,80,2,"Priorizó seguridad sobre rentabilidad.","Baja recompensa, alta seguridad","Excelente para preservar capital. Sin embargo, puede que no crezca significativamente. Define tus objetivos financieros."
"Inversión Personal","Ahorrar en cuenta bancaria",20,70,1,"Priorizó liquidez y cero riesgo.","Crecimiento mínimo","Seguro, pero la inflación puede reducir el valor de tu dinero con el tiempo. Considera opciones que al menos superen la inflación."
"Expansión de Negocio","Abrir nueva sucursal en zona céntrica",95,85,4,"Gran visibilidad, alto alquiler, mucho potencial.","Gran éxito","Excelente elección si el capital lo permite. La ubicación central asegura alto flujo de clientes y reconocimiento rápido. Considera la competencia local.","Eres el dueño de una cafetería popular. Debes decidir cómo hacer crecer tu negocio."
"Expansión de Negocio","Invertir en marketing digital agresivo",80,90,3,"Baja inversión inicial, amplio alcance, resultados medibles.","Éxito prometedor","Una estrategia digital bien ejecutada puede alcanzar a miles. Monitorea las métricas de conversión para optimizar el gasto.","Eres el dueño de una cafetería popular. Debes decidir cómo hacer crecer tu negocio."
"Expansión de Negocio","Franquiciar el modelo de negocio",60,70,5,"Escalable, pero requiere control de calidad y soporte a franquiciados.","Éxito a largo plazo","Un modelo de franquicia ofrece crecimiento rápido con capital externo, pero implica ceder cierto control y asegurar la consistencia de la marca.","Eres el dueño de una cafetería popular. Debes decidir cómo hacer crecer tu negocio."
"Gestión de Crisis","Emitir disculpa pública y ofrecer compensación",75,80,3,"Reconoce el error, genera empatía, mitiga daño a la reputación.","Recuperación rápida","Una respuesta rápida y empática puede transformar una crisis en una oportunidad para construir confianza. La transparencia es clave.","Tu empresa ha cometido un error público que afecta a tus clientes y tu reputación está en juego. Debes decidir cómo gestionar la crisis."
"Gestión de Crisis","Ignorar el problema y esperar que pase",10,20,1,"Evita el costo a corto plazo, pero permite que el problema crezca.","Desastre de reputación","Ignorar una crisis es un riesgo enorme. Los problemas no desaparecen solos y la percepción pública puede deteriorarse irreversiblemente.","Tu empresa ha cometido un error público que afecta a tus clientes y tu reputación está en juego. Debes decidir cómo gestionar la crisis."
"Gestión de Crisis","Atacar a los críticos públicamente",5,5,2,"Defiende la postura, pero aliena a la audiencia y aumenta la hostilidad.","Empeoramiento de crisis","Confrontar públicamente a los críticos suele exacerbar la situación. Enfócate en soluciones y comunicación constructiva.","Tu empresa ha cometido un error público que afecta a tus clientes y tu reputación está en juego. Debes decidir cómo gestionar la crisis."
